koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition,mission
5.79687,3.4781220000000004,1000.0,27.81,10.0,FALSE POSITIVE,Transit
0.4775252,0.28651512,1000.0,20.1,10.0,CANDIDATE,Transit
22.197992,13.3187952,1000.0,5.34,10.0,CANDIDATE,Transit
44.394,26.636400000000002,1000.0,4.07,10.0,CANDIDATE,Transit
3.29163,1.9749780000000001,1000.0,1.17,10.0,CANDIDATE,Transit
3.2908998,1.97453988,1000.0,1.57,10.0,CANDIDATE,Transit
0.877214,0.5263284,1000.0,1.3,10.0,CONFIRMED,Transit
0.87724,0.526344,1000.0,1.565,10.0,CONFIRMED,Transit
0.87703,0.5262180000000001,1000.0,1.2,10.0,CONFIRMED,Transit
0.877183,0.5263098,1000.0,1.40575209,10.0,CONFIRMED,Transit
2.8964139,1.7378483400000002,1000.0,2.45,10.0,CANDIDATE,Transit
2.896528,1.7379167999999998,1000.0,1.45,10.0,CANDIDATE,Transit
0.44433632,0.266601792,1000.0,1.01,10.0,CANDIDATE,Transit
0.444372,0.2666232,1000.0,1.22,10.0,CANDIDATE,Transit
3.80464,2.2827840000000004,1000.0,1.22,10.0,CONFIRMED,Transit
7.28161,4.368966,1000.0,1.78,10.0,CANDIDATE,Transit
7.28116,4.368696,1000.0,1.79,10.0,CANDIDATE,Transit
7.28076,4.368456,1000.0,2.6,10.0,CANDIDATE,Transit
7.28138,4.368828000000001,1000.0,17.0,10.0,CANDIDATE,Transit
7.28131,4.368786,1000.0,1.9,10.0,CANDIDATE,Transit
4.58328,2.7499680000000004,1000.0,2.21,10.0,CANDIDATE,Transit
1.65336,0.992016,1000.0,1.51,10.0,CANDIDATE,Transit
5.28081,3.168486,1000.0,10.9,10.0,CANDIDATE,Transit
440.0,264.0,1000.0,16.3,10.0,CANDIDATE,Transit
30.0,18.0,1000.0,22.8,10.0,CANDIDATE,Transit
7.655533,4.593319800000001,1000.0,2.328,10.0,CANDIDATE,Transit
27.770388,16.6622328,1000.0,25.1,10.0,FALSE POSITIVE,Transit
27.77045,16.66227,1000.0,32.79,10.0,FALSE POSITIVE,Transit
0.259669,0.1558014,1000.0,0.77,10.0,CANDIDATE,Transit
0.25967056,0.155802336,1000.0,0.742,10.0,CANDIDATE,Transit
5.54583,3.3274979999999994,1000.0,0.441,10.0,CANDIDATE,Transit
18.4502,11.07012,1000.0,2.52,10.0,CANDIDATE,Transit
35.621,21.372600000000002,1000.0,1.89,10.0,CANDIDATE,Transit
4.1333,2.4799800000000003,1000.0,1.2,10.0,CANDIDATE,Transit
1.9611469,1.17668814,1000.0,5.93,10.0,CANDIDATE,Transit
1.96133691104,1.1768021466240002,1000.0,15.86577929,10.0,CANDIDATE,Transit
40.7302,24.438120000000005,1000.0,7.8,10.0,CANDIDATE,Transit
40.7362,24.44172,1000.0,7.28,10.0,CANDIDATE,Transit
0.60408352,0.362450112,1000.0,2.26,10.0,CANDIDATE,Transit
3.52743,2.116458,1000.0,1.11,10.0,CANDIDATE,Transit
3.52725,2.11635,1000.0,1.21,10.0,CANDIDATE,Transit
3.52674,2.1160440000000005,1000.0,1.32,10.0,CANDIDATE,Transit
3.5269024,2.1161414400000003,1000.0,2.98,10.0,CANDIDATE,Transit
6340.0,3804.0,1000.0,12.8,10.0,CANDIDATE,Transit
9.321691,5.5930146,1000.0,17.325,10.0,CANDIDATE,Transit
6.662,3.9972000000000003,1000.0,1.59,10.0,CANDIDATE,Transit
2.71578,1.6294680000000001,1000.0,1.03,10.0,CONFIRMED,Transit
2.0478,1.2286800000000002,1000.0,0.90819,10.0,CONFIRMED,Transit
27.242808,16.3456848,1000.0,93.0,10.0,FALSE POSITIVE,Transit
27.24273,16.345638,1000.0,31.73,10.0,FALSE POSITIVE,Transit
27.242912,16.3457472,1000.0,18.8,10.0,FALSE POSITIVE,Transit
1.395336,0.8372016,1000.0,0.76,10.0,CANDIDATE,Transit
1.3951513,0.83709078,1000.0,0.879,10.0,CANDIDATE,Transit
15.3791,9.22746,1000.0,1.89,10.0,CANDIDATE,Transit
33.5107,20.10642,1000.0,2.14,10.0,CANDIDATE,Transit
