koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition
6.15560285,4.9843,285.0,2.32,35.1,CONFIRMED
2.090811305,3.388,115.9,1.62,19.9,CONFIRMED
3.180027898,3.5797,120.3,1.53,50.4,CONFIRMED
50.4467417,7.159,370.3,2.67,19.4,CONFIRMED
11.76307164,2.9076,1037.3,2.35,48.9,CONFIRMED
56.2279271,3.57,862.7,2.37,20.9,CONFIRMED
2.384052875,3.0918,1268.1,17.06,50.5,FALSE POSITIVE
7.953547,2.6312,875.4,2.25,38.4,CONFIRMED
4.14451656,2.3421,391.8,1.48,22.8,CONFIRMED
4.583520948,2.7055,3812.1,5.39,99.5,CONFIRMED
3.76181843,3.5176,510.6,2.66,35.9,CONFIRMED
8.20396958,2.9667,1024.4,3.01,54.4,CONFIRMED
14.49645186,4.016,647.5,3.01,25.7,CONFIRMED
6.54626149,2.75,655.9,2.19,24.8,CONFIRMED
12.71809866,3.0957,1149.4,2.31,52.7,CONFIRMED
36.06588163,4.3246,1563.8,2.64,51.7,CONFIRMED
4.190425659,2.8589,2877.4,6.21,240.6,CONFIRMED
3.709870784,3.0694,2020.3,4.35,116.1,CONFIRMED
16.3297527,6.271,1187.5,3.75,74.6,CONFIRMED
80.8723469,11.195,3604.6,7.59,160.9,CONFIRMED
3.166465862,2.9381,4357.2,26.82,122.1,FALSE POSITIVE
24.99324319,5.9409,269.6,2.29,62.0,CONFIRMED
10.35533116,3.1775,750.6,2.47,49.2,CONFIRMED
16.08518937,3.984,1442.4,3.68,62.6,CONFIRMED
7.49018305,2.7297,1123.6,2.56,53.0,CONFIRMED
36.2761238,4.7865,1572.6,3.03,45.5,CONFIRMED
17.46087931,2.2641,812.4,2.32,22.6,CONFIRMED
56.0560754,4.685,1626.0,1.94,27.4,CONFIRMED
5.715425977,2.5242,908.1,2.47,59.4,CONFIRMED
20.0261412,1.611,421.2,2.28,10.7,CONFIRMED
10.44331991,2.743,1159.8,2.66,51.7,FALSE POSITIVE
2.237489571,1.8119,315.8,1.41,30.7,CONFIRMED
3.167893418,2.1814,781.2,2.62,64.8,CONFIRMED
4.311780262,2.7251,1154.0,3.11,86.1,CONFIRMED
20.0504494,4.556,840.9,2.69,37.8,CONFIRMED
9.76734503,1.6585,569.1,2.67,21.1,CONFIRMED
2.861159894,1.8832,1014.3,4.37,58.3,FALSE POSITIVE
26.44439337,3.9783,1843.5,3.91,88.0,CONFIRMED
51.53997972,6.3994,3644.3,5.51,155.5,CONFIRMED
5.902245782,2.9003,702.3,2.43,59.3,CONFIRMED
2.382951591,1.8876,391.6,1.86,41.4,CONFIRMED
21.02250608,4.1072,1772.5,3.07,62.4,CONFIRMED
3.219814777,2.0642,488.2,1.69,30.5,CONFIRMED
5.912273234,2.3254,961.4,1.73,62.8,CONFIRMED
8.98581901,2.8606,881.3,1.65,51.8,CONFIRMED
20.5452375,2.517,218.5,2.41,18.5,FALSE POSITIVE
6.76652928,2.9004,450.7,1.97,29.2,CONFIRMED
4.347288783,2.1024,451.6,2.36,39.7,CONFIRMED
4.601811819,2.2607,755.9,2.35,60.8,CONFIRMED
11.18719905,3.252,353.6,1.55,21.9,CONFIRMED
4.220965778,3.0854,2260.0,2.62,157.8,CONFIRMED
5.95489993,2.3892,1410.7,2.33,87.2,CONFIRMED
12.03987488,2.7363,1250.6,2.18,57.6,CONFIRMED
20.83762895,2.3734,439.0,1.42,14.9,CONFIRMED
23.58917143,5.073,1200.7,3.16,53.3,CONFIRMED
6.481633073,3.784,298.5,2.54,125.6,CONFIRMED
10.37168928,3.035,1254.9,3.2,64.5,CONFIRMED
3.96996298,1.1757,299.2,1.78,15.0,CONFIRMED
4.40841331,5.012,549.4,2.66,45.1,CONFIRMED
7.9426176,6.703,1590.7,4.68,60.4,FALSE POSITIVE
9.439459486,2.8979,3036.1,4.16,175.2,CONFIRMED
11.523067458,3.8757,507.3,3.13,142.0,CONFIRMED
20.47748843,2.8364,1382.4,2.92,52.7,CONFIRMED
3.336123113,1.9616,516.3,1.74,41.6,CONFIRMED
8.01078456,2.312,1333.6,1.72,48.5,CONFIRMED
12.07134205,4.3224,759.2,1.29,31.0,CONFIRMED
20.99587872,2.6333,767.3,1.3,18.2,CONFIRMED
7.41113177,2.5242,620.5,2.45,50.4,CONFIRMED
1.000747038,0.9967,1823.5,4.14,147.4,FALSE POSITIVE
10.00653012,5.344,936.1,3.52,71.9,CONFIRMED
2.211116989,1.6485,724.2,1.85,42.6,CONFIRMED
27.9541337,3.95,942.5,1.9,25.4,CONFIRMED
12.69104387,3.7727,252.1,2.57,60.2,CONFIRMED
16.23947096,4.0374,2590.7,4.14,123.8,CONFIRMED
6.308201629,2.9785,1328.5,2.96,86.2,CONFIRMED
9.7704486,2.4517,1897.8,2.23,58.0,CONFIRMED
5.169804269,2.153,1037.4,1.66,41.4,CONFIRMED
21.22261195,6.5093,366.0,2.48,114.9,CONFIRMED
20.09017037,4.154,1432.1,2.25,36.9,CONFIRMED
7.11373257,2.1764,807.6,1.16,44.4,CONFIRMED
3.306551643,1.8177,509.2,0.91,37.8,CONFIRMED
15.36845737,2.4714,756.1,1.11,30.9,CONFIRMED
13.81020318,3.048,1309.7,4.56,46.2,CONFIRMED
4.093578461,2.5833,538.6,2.85,36.4,CONFIRMED
105.145959,8.593,685.4,3.43,15.4,CONFIRMED
10.8484518,2.9993,1675.6,2.34,64.5,CONFIRMED
6.66833241,1.915,362.3,1.18,14.2,CONFIRMED
3.886655224,3.1646,581.6,1.87,48.1,CANDIDATE
42.1406089,5.083,895.5,1.85,21.6,CONFIRMED
4.617490562,2.2618,575.8,1.62,28.1,CONFIRMED
10.19849255,2.4283,634.1,1.75,21.4,CONFIRMED
5.795063956,3.2496,1692.9,4.33,119.4,FALSE POSITIVE
7.15681552,2.5882,867.0,2.47,47.7,CONFIRMED
17.64830851,2.0873,763.3,2.43,23.8,CONFIRMED
4.14810719,2.535,175.2,1.08,12.9,CONFIRMED
16.51410989,4.1575,973.5,2.72,55.9,CONFIRMED
30.1329298,5.172,1015.8,3.14,44.8,CONFIRMED
4.79090809,2.603,251.3,1.36,21.2,CONFIRMED
31.71981013,4.819,363.4,3.09,63.1,CONFIRMED
99.6415962,4.448,952.5,2.64,22.7,CONFIRMED
5.392026903,2.9804,1151.4,2.68,77.4,CONFIRMED
2.494170338,1.1221,863.7,2.42,69.2,CANDIDATE
3.044770796,10.0134,1695.0,24.54,203.5,FALSE POSITIVE
3.855599139,3.183,1030.9,3.57,90.1,FALSE POSITIVE
